H,β,γ,c,φ,Ru,actual
0.082552464,0.534883721,0.518134715,0,0.808080808,0.466666667,0.026
0.064737948,0.465116279,0.455958549,0.049333333,0.424242424,0,0.3105
0.718530659,0.744186047,0.777202073,0.166666667,0.808080808,0.4,0.3834
0.342644387,0.465116279,0.518134715,0.133333333,0.606060606,0,0.2112
0.047814159,0.23255814,0.354404145,0.047866667,0.505050505,0,0.0721
0.645491146,0.837209302,1,0.226666667,0.747474747,0,0.4102
0.633020985,0.744186047,0.777202073,0.116666667,0.707070707,0.4,0.3444
0.45131293,0.465116279,0.518134715,0.07,0.464646465,0,0.5127
0.084333915,0.196046512,0.300518135,0.070666667,0.281212121,0.533333333,0.3067
0.064737948,0.465116279,0.715025907,0.137333333,0.707070707,0,0.2732
0.0077315,0.534883721,0.621761658,0,0.808080808,0.404,0.0904
0.100366979,0.581395349,0.756476684,0.135666667,0.707070707,0,0.2986
0.123525849,0.196046512,0.476683938,0,0.707070707,0.333333333,0.4806
0.082552464,0.813953488,0.414507772,0.066666667,0.727272727,0.333333333,0.6297
0.082552464,0.813953488,0.518134715,0.033333333,0.727272727,0.386666667,0.1247
0.047814159,0.23255814,0.354404145,0.047866667,0.505050505,0.6,0.4198
0.082552464,0.813953488,0.414507772,0.066666667,0.727272727,0.333333333,0.4219
0.011294403,0.813953488,0.518134715,0.033333333,0.707070707,0.537333333,0.3105
0.331955677,0.372093023,0.595854922,0.033333333,0.545454545,0,0.3129
0.207254071,1,0.67357513,0.4,0.909090909,0,0.9389
0.082552464,0.813953488,0.414507772,0,0.727272727,0.333333333,0.3704
0.321266968,0.627906977,0.777202073,0.091,0.587878788,0.293333333,0.279
0.102148431,0.23255814,0.488601036,0,0.404040404,0,0.2268
0.08967827,0.256744186,0.362694301,0.039666667,0.412121212,1,0.2979
0.064737948,0.465116279,0.445595855,0.054266667,0.535353535,0,0.2903
0.118181494,0.697674419,0.492227979,0.099333333,0.525252525,0,0.2166
0.046923433,0.813953488,0.414507772,0.066666667,0.727272727,0.670666667,0.7451
0.087896818,0.465116279,0.455958549,0.051333333,0.424242424,0,0.1443
0.062956497,0.581395349,0.751295337,0.120333333,0.626262626,0,1
0.0077315,0.813953488,0,0,0.606060606,0,0.3058
0.260697616,0.319767442,0.476683938,0,0.707070707,0.333333333,0.2962
0.08967827,0.744186047,0.751295337,0.139333333,0.727272727,0,0.2999
0.116400043,0.465116279,0.777202073,0.119333333,0.646464646,0,0.3626
0.029108918,0.813953488,0.310880829,0.08,0.609090909,0.16,0.2537
0.029108918,0.465116279,0.471502591,0.033333333,0.612929293,0,0.1491
0.055830691,0.23255814,0.694300518,0.11,0.666666667,0,0.3534
0.007054548,0.23255814,0.354404145,0,0.404040404,0,0.649
0.015195782,0.279069767,0.395336788,0.0399,0.404040404,0.54,0.2704
0.563544376,0.646511628,0.777202073,0.125,0.707070707,0.4,0.1085
0.706060498,0.186046512,0.518134715,0.096666667,0.303030303,0,0.2745
0.114618591,0.581395349,0.735751295,0.146,0.767676768,0,0.2109
0.004173941,0.465116279,0.336787565,0.083333333,0,0.386666667,0.3821
0.087896818,0.128372093,0.310880829,0.016666667,0.535353535,0.533333333,0.4952
0.150247622,0.465116279,0.103626943,0.0399,0.525252525,0,0.9337
0.763066947,0.837209302,0.67357513,0.153333333,0.707070707,0.386666667,0.3957
0.169843589,0.581395349,0.507772021,0.096,0.525252525,0,0.0652
0.082552464,0.697674419,0.497409326,0.021666667,0.383838384,0,0.1621
0.130313179,0.488372093,0.492746114,0.023133333,0.606060606,0.506666667,0.6729
0.009512951,0.23255814,0.414507772,0,0.494949495,0.466666667,0.0393
0.061175045,0.164418605,0.269430052,0.033333333,0.48989899,0.533333333,0.2819
0.087896818,0.128372093,0.310880829,0.016666667,0.444444444,0.533333333,0.3457
0.057612142,0.465116279,0.437823834,0.053333333,0.303030303,0.333333333,0.399
0.039797627,0.348837209,0.704663212,0.129333333,0.727272727,0,0.061
0.100366979,0.465116279,0.507772021,0.104,0.505050505,0,0.1274
0.091459721,0.651162791,0.725388601,0.141333333,0.747474747,0,0.3768
0.052267788,0.465116279,0.580310881,0.104,0.464646465,0,0.1578
0.032671821,0.348837209,0.777202073,0.128,0.666666667,0,0.5466
0.057612142,0.302325581,0.735751295,0.141,0.727272727,0,0.3266
0.074927851,0.139534884,0.435751295,0.111733333,0.222222222,0.266666667,0.286
0.068300852,0.465116279,0.445595855,0.108,0.525252525,0,0.4051
0.016282467,0.418604651,0.509326425,0.028733333,0.646464646,0,0.3643
0.367584708,0.325581395,0.54611399,0.098,0.404040404,0,0.1708
0.349770193,0.930232558,0.725388601,0.500166667,0.909090909,0,0.07
0.127088752,0.465116279,0.471502591,0.114,0.525252525,0,0.4965
0.830762105,0.697674419,0.792746114,0.033333333,0.787878788,0.4,0.5108
0.065272384,0.646511628,0.393782383,0.072666667,0.595959596,0.333333333,0.199
0.046923433,0.581395349,0.735751295,0.138333333,0.727272727,0,0.2153
0.008141233,0.581395349,0.34611399,0.0878,0.303030303,0,0.4826
0.096804076,0.697674419,0.393782383,0.098666667,0.464646465,0,0.5739
0.009512951,0.274418605,0.29015544,0.033333333,0.161616162,0.533333333,0.9507
0.046923433,0.465116279,0.792746114,0.124333333,0.626262626,0,0.3834
0.082552464,0.465116279,0.715025907,0.115666667,0.666666667,0,0.2651
0.082552464,0.24,0.353367876,0.083333333,0.294949495,0.533333333,0.4974
0.075426658,0.38372093,0.341968912,0,0.646464646,0.333333333,0.1681
0.118181494,0.581395349,0.445595855,0.092666667,0.545454545,0,0.218
0.0077315,0.534883721,0.310880829,0,0.606060606,0.404,0.8989
0.004173941,0.465116279,0.336787565,0.04,0,0.386666667,0.2576
0.260697616,0.581395349,0.777202073,0.091,0.587878788,0.346666667,0.1192
0.213667296,0.73255814,0.492227979,0.05,0.585858586,0.48,0.304
0.047814159,0.23255814,0.354404145,0.047866667,0.505050505,0,0.3774
0.17162504,0.581395349,0.851813472,0.130766667,0.767676768,0,0.2145
0.501193573,0.930232558,0.67357513,0.153333333,0.707070707,0.333333333,1
0.526133894,0.825581395,0.67357513,0.183333333,0.727272727,0,0.1306
0.046923433,0.581395349,0.735751295,0.138333333,0.727272727,0,0.9122
0.062956497,0.216046512,0.352331606,0.032666667,0.424242424,0.333333333,0.2858
0.100366979,0.813953488,0.777202073,0.233333333,0.460606061,0.426666667,0.3499
0.084333915,0.196046512,0.279792746,0.066666667,0.484848485,0.533333333,0.6584
0.0077315,0.813953488,0,0,0.606060606,0,0.3626
0.100366979,0.581395349,0.704663212,0.122666667,0.686868687,0,0.3819
0.000605694,0.581395349,0,0,0.606060606,0.386666667,0.5673
0.17162504,0.581395349,0.851813472,0.098066667,0.707070707,0,0.5348
0.082552464,0.813953488,0.414507772,0.066666667,0.727272727,0.666666667,0.2037
0.349770193,0.930232558,0.725388601,0.05,0.909090909,0,0.5613
0.350660919,0.906976744,1,0.226666667,0.747474747,0.386666667,1
0.030890369,0.581395349,0.365803109,0.039033333,0.565656566,0.146666667,0.2546
0.233975844,0.720930233,0.792746114,0.105,0.600060606,0.390666667,0.6953
0.073645206,0.465116279,0.455958549,0.052,0.404040404,0,0.2085
0.082552464,0.581395349,0.621761658,0.136,0.707070707,0,0.0465
0.000605694,0.581395349,0,0,0.606060606,0,0.0911
0.0077315,0.813953488,0,0,0.606060606,0.386666667,0.2182
0.009512951,0.274418605,0.29015544,0.033333333,0.323232323,0.533333333,0.1604
0.207254071,1,0.67357513,0.04,0.909090909,0,0.1063
0.064737948,0.274418605,0.310880829,0.07,0.430909091,0.533333333,0.1882
1,0.255813953,0.466321244,0.066666667,0.484848485,0,0.1676
0.039797627,0.465116279,0.766839378,0.125,0.646464646,0,0.1147
0.103751737,0.61627907,0.575129534,0.084,0.58989899,0,0.1865
0.035343998,0.872093023,0.611398964,0.103333333,0.781818182,0.413333333,0.2879
0.075426658,0.274418605,0.341968912,0,0.646464646,0.333333333,0.1441
0.012487975,0.279069767,0.435751295,0.083,0.262626263,0.466666667,0.0348
0.052267788,0.465116279,0.715025907,0.144333333,0.747474747,0,0.0583
0.081661738,0.83255814,0.523316062,0.152666667,1,0.28,0.1952
0.02020166,0.813953488,0.538860104,0.333333333,0.909090909,0.333333333,0.3858
0.004168597,0.465116279,0.336787565,0.083333333,0,0,0.0982
0.903801618,0.720930233,0.792746114,0.033333333,0.787878788,0.4,0.056
0.030890369,0.465116279,0.751295337,0.118,0.646464646,0,0.045
0.073645206,0.348837209,0.715025907,0.131333333,0.666666667,0,0.0529
0.260697616,0.319767442,0.476683938,0,0.707070707,0.333333333,0.1556
0.047814159,0.23255814,0.354404145,0.191533333,0.404040404,0,0.4095
0.057612142,0.558139535,0.751295337,0.143,0.767676768,0,0.9033
0.0077315,0.534883721,0.518134715,0,0.808080808,0.524,0.9934
0.260697616,0.319767442,0.476683938,0,0.707070707,0.333333333,0.5596
0.064737948,0.395348837,0.715025907,0.127333333,0.666666667,0,0.3559
0.055830691,0.348837209,0.445595855,0.0877,0.444444444,0,0.0525
0.016282467,0.186046512,0.50880829,0.028733333,0.646464646,0.653333333,0.0995
0.084333915,0.465116279,0.621761658,0.138333333,0.727272727,0,0.3493
0.132433106,0.38372093,0.533678756,0,0.808080808,0.333333333,0.5973
0.011294403,0.465116279,0.518134715,0.033333333,0.707070707,0.386666667,0.3419
0.150247622,0.465116279,0.103626943,0.0399,0.525252525,0,0.2945
0.065272384,0.841860465,0.569948187,0.066666667,0.41010101,0.333333333,0.2504
0.198346813,0.697674419,0.207253886,0.023333333,0.404040404,0,0.9062
0.189439555,0.720930233,0.792746114,0.046666667,0.626262626,0.4,0.9419
0.529696797,0.758139535,0.777202073,0.106666667,0.666666667,0.4,0.1247
0.012487975,0.348837209,0.354404145,0.051066667,0.606060606,0.506666667,0.4611
0.012487975,0.348837209,0.354404145,0.051066667,0.606060606,0,0.0866
0.372929063,0.860465116,1,0.226666667,0.747474747,0,
0.499412121,0.930232558,0.67357513,0.153333333,0.707070707,0,
0.693590337,0.837209302,0.67357513,0.153333333,0.707070707,0,
0.074927851,0.139534884,0.435751295,0.111733333,0.222222222,0,
0.403213739,0.465116279,0.725388601,0.5,0.909090909,0.386666667,
0.007054548,0.23255814,0.354404145,0,0.404040404,0.6,
0.385399223,0.348837209,0.544041451,0.066666667,0.323232323,0,
0.068300852,0.348837209,0.797927461,0.127,0.626262626,0,
0.670431468,0.302325581,0.569948187,0.08,0.4,0,
0.012487975,0.279069767,0.435751295,0.083,0.262626263,0,
